iter	Passed	Remaining
0	2	255
1	5	276
2	8	287
3	11	275
4	14	275
5	17	272
6	20	274
7	23	272
8	26	269
9	29	268
10	33	268
11	36	268
12	39	266
13	43	265
14	46	263
15	49	260
16	52	257
17	56	256
18	59	252
19	62	248
20	65	245
21	68	242
22	71	239
23	74	236
24	77	233
25	80	230
26	84	227
27	87	224
28	91	223
29	94	220
30	97	217
31	100	213
32	104	211
33	107	208
34	110	205
35	113	202
36	117	199
37	120	196
38	123	193
39	126	190
40	129	186
41	130	180
42	133	177
43	137	174
44	140	171
45	143	168
46	146	165
47	149	162
48	152	159
49	156	156
50	159	152
51	162	149
52	165	146
53	168	143
54	170	139
55	173	136
56	176	133
57	179	130
58	183	127
59	186	124
60	189	120
61	192	117
62	195	114
63	198	111
64	201	108
65	204	105
66	207	102
67	211	99
68	214	96
69	218	93
70	221	90
71	224	87
72	227	84
73	230	81
74	234	78
75	240	76
76	244	72
77	249	70
78	254	67
79	258	64
80	262	61
81	266	58
82	269	55
83	273	52
84	276	48
85	280	45
86	282	42
87	284	38
88	285	35
89	287	31
90	289	28
91	290	25
92	292	21
93	293	18
94	294	15
95	296	12
96	297	9
97	298	6
98	300	3
99	301	0
